timestamp,phase,gpu_index,memory_used_mb,memory_total_mb,utilization_pct
1784907537.9167352,startup,0,858.0,65536.0,0.0
1784907537.9167352,startup,1,858.0,65536.0,0.0
1784907537.9167352,startup,2,858.0,65536.0,0.0
1784907537.9167352,startup,3,858.0,65536.0,0.0
1784907537.9167352,startup,4,858.0,65536.0,0.0
1784907537.9167352,startup,5,858.0,65536.0,0.0
1784907537.9167352,startup,6,858.0,65536.0,0.0
1784907537.9167352,startup,7,858.0,65536.0,0.0
1784907539.1972535,startup,0,858.0,65536.0,0.0
1784907539.1972535,startup,1,858.0,65536.0,0.0
1784907539.1972535,startup,2,858.0,65536.0,0.0
1784907539.1972535,startup,3,858.0,65536.0,0.0
1784907539.1972535,startup,4,858.0,65536.0,0.0
1784907539.1972535,startup,5,858.0,65536.0,0.0
1784907539.1972535,startup,6,858.0,65536.0,0.0
1784907539.1972535,startup,7,858.0,65536.0,0.0
1784907540.481286,startup,0,858.0,65536.0,0.0
1784907540.481286,startup,1,858.0,65536.0,0.0
1784907540.481286,startup,2,858.0,65536.0,0.0
1784907540.481286,startup,3,858.0,65536.0,0.0
1784907540.481286,startup,4,858.0,65536.0,0.0
1784907540.481286,startup,5,858.0,65536.0,0.0
1784907540.481286,startup,6,858.0,65536.0,0.0
1784907540.481286,startup,7,858.0,65536.0,0.0
1784907541.7264156,startup,0,859.0,65536.0,0.0
1784907541.7264156,startup,1,859.0,65536.0,0.0
1784907541.7264156,startup,2,859.0,65536.0,0.0
1784907541.7264156,startup,3,859.0,65536.0,0.0
1784907541.7264156,startup,4,859.0,65536.0,0.0
1784907541.7264156,startup,5,859.0,65536.0,0.0
1784907541.7264156,startup,6,859.0,65536.0,0.0
1784907541.7264156,startup,7,859.0,65536.0,0.0
1784907543.0108466,startup,0,859.0,65536.0,0.0
1784907543.0108466,startup,1,859.0,65536.0,0.0
1784907543.0108466,startup,2,859.0,65536.0,0.0
1784907543.0108466,startup,3,859.0,65536.0,0.0
1784907543.0108466,startup,4,859.0,65536.0,0.0
1784907543.0108466,startup,5,859.0,65536.0,0.0
1784907543.0108466,startup,6,859.0,65536.0,0.0
1784907543.0108466,startup,7,859.0,65536.0,0.0
1784907544.293232,startup,0,859.0,65536.0,0.0
1784907544.293232,startup,1,859.0,65536.0,0.0
1784907544.293232,startup,2,859.0,65536.0,0.0
1784907544.293232,startup,3,859.0,65536.0,0.0
1784907544.293232,startup,4,859.0,65536.0,0.0
1784907544.293232,startup,5,859.0,65536.0,0.0
1784907544.293232,startup,6,859.0,65536.0,0.0
1784907544.293232,startup,7,859.0,65536.0,0.0
1784907545.5756798,startup,0,859.0,65536.0,0.0
1784907545.5756798,startup,1,859.0,65536.0,0.0
1784907545.5756798,startup,2,859.0,65536.0,0.0
1784907545.5756798,startup,3,859.0,65536.0,0.0
1784907545.5756798,startup,4,859.0,65536.0,0.0
1784907545.5756798,startup,5,859.0,65536.0,0.0
1784907545.5756798,startup,6,859.0,65536.0,0.0
1784907545.5756798,startup,7,859.0,65536.0,0.0
1784907546.821657,startup,0,859.0,65536.0,0.0
1784907546.821657,startup,1,859.0,65536.0,0.0
1784907546.821657,startup,2,859.0,65536.0,0.0
1784907546.821657,startup,3,859.0,65536.0,0.0
1784907546.821657,startup,4,859.0,65536.0,0.0
1784907546.821657,startup,5,859.0,65536.0,0.0
1784907546.821657,startup,6,859.0,65536.0,0.0
1784907546.821657,startup,7,859.0,65536.0,0.0
1784907548.1058228,startup,0,859.0,65536.0,0.0
1784907548.1058228,startup,1,859.0,65536.0,0.0
1784907548.1058228,startup,2,859.0,65536.0,0.0
1784907548.1058228,startup,3,859.0,65536.0,0.0
1784907548.1058228,startup,4,859.0,65536.0,0.0
1784907548.1058228,startup,5,859.0,65536.0,0.0
1784907548.1058228,startup,6,859.0,65536.0,0.0
1784907548.1058228,startup,7,859.0,65536.0,0.0
1784907549.3910575,startup,0,859.0,65536.0,0.0
1784907549.3910575,startup,1,859.0,65536.0,0.0
1784907549.3910575,startup,2,859.0,65536.0,0.0
1784907549.3910575,startup,3,859.0,65536.0,0.0
1784907549.3910575,startup,4,859.0,65536.0,0.0
1784907549.3910575,startup,5,859.0,65536.0,0.0
1784907549.3910575,startup,6,859.0,65536.0,0.0
1784907549.3910575,startup,7,859.0,65536.0,0.0
1784907550.6740317,startup,0,859.0,65536.0,0.0
1784907550.6740317,startup,1,859.0,65536.0,0.0
1784907550.6740317,startup,2,859.0,65536.0,0.0
1784907550.6740317,startup,3,859.0,65536.0,0.0
1784907550.6740317,startup,4,859.0,65536.0,0.0
1784907550.6740317,startup,5,859.0,65536.0,0.0
1784907550.6740317,startup,6,859.0,65536.0,0.0
1784907550.6740317,startup,7,859.0,65536.0,0.0
1784907551.918056,startup,0,859.0,65536.0,0.0
1784907551.918056,startup,1,859.0,65536.0,0.0
