timestamp,phase,gpu_index,memory_used_mb,memory_total_mb,utilization_pct
1784886117.6231134,startup,0,858.0,65536.0,0.0
1784886117.6231134,startup,1,858.0,65536.0,0.0
1784886117.6231134,startup,2,858.0,65536.0,0.0
1784886117.6231134,startup,3,858.0,65536.0,0.0
1784886117.6231134,startup,4,858.0,65536.0,0.0
1784886117.6231134,startup,5,858.0,65536.0,0.0
1784886117.6231134,startup,6,858.0,65536.0,0.0
1784886117.6231134,startup,7,858.0,65536.0,0.0
1784886118.909827,startup,0,858.0,65536.0,0.0
1784886118.909827,startup,1,858.0,65536.0,0.0
1784886118.909827,startup,2,858.0,65536.0,0.0
1784886118.909827,startup,3,858.0,65536.0,0.0
1784886118.909827,startup,4,858.0,65536.0,0.0
1784886118.909827,startup,5,858.0,65536.0,0.0
1784886118.909827,startup,6,858.0,65536.0,0.0
1784886118.909827,startup,7,858.0,65536.0,0.0
1784886120.2017305,startup,0,858.0,65536.0,0.0
1784886120.2017305,startup,1,858.0,65536.0,0.0
1784886120.2017305,startup,2,858.0,65536.0,0.0
1784886120.2017305,startup,3,858.0,65536.0,0.0
1784886120.2017305,startup,4,859.0,65536.0,0.0
1784886120.2017305,startup,5,859.0,65536.0,0.0
1784886120.2017305,startup,6,859.0,65536.0,0.0
1784886120.2017305,startup,7,859.0,65536.0,0.0
1784886121.4822845,startup,0,859.0,65536.0,0.0
1784886121.4822845,startup,1,859.0,65536.0,0.0
1784886121.4822845,startup,2,859.0,65536.0,0.0
1784886121.4822845,startup,3,859.0,65536.0,0.0
1784886121.4822845,startup,4,859.0,65536.0,0.0
1784886121.4822845,startup,5,859.0,65536.0,0.0
1784886121.4822845,startup,6,859.0,65536.0,0.0
1784886121.4822845,startup,7,859.0,65536.0,0.0
1784886122.771331,startup,0,859.0,65536.0,0.0
1784886122.771331,startup,1,859.0,65536.0,0.0
1784886122.771331,startup,2,859.0,65536.0,0.0
1784886122.771331,startup,3,859.0,65536.0,0.0
1784886122.771331,startup,4,859.0,65536.0,0.0
1784886122.771331,startup,5,859.0,65536.0,0.0
1784886122.771331,startup,6,859.0,65536.0,0.0
1784886122.771331,startup,7,859.0,65536.0,0.0
1784886124.053289,startup,0,859.0,65536.0,0.0
1784886124.053289,startup,1,859.0,65536.0,0.0
1784886124.053289,startup,2,859.0,65536.0,0.0
1784886124.053289,startup,3,859.0,65536.0,0.0
1784886124.053289,startup,4,859.0,65536.0,0.0
1784886124.053289,startup,5,859.0,65536.0,0.0
1784886124.053289,startup,6,859.0,65536.0,0.0
1784886124.053289,startup,7,859.0,65536.0,0.0
1784886125.3378205,startup,0,859.0,65536.0,0.0
1784886125.3378205,startup,1,859.0,65536.0,0.0
1784886125.3378205,startup,2,859.0,65536.0,0.0
1784886125.3378205,startup,3,859.0,65536.0,0.0
1784886125.3378205,startup,4,859.0,65536.0,0.0
1784886125.3378205,startup,5,859.0,65536.0,0.0
1784886125.3378205,startup,6,859.0,65536.0,0.0
1784886125.3378205,startup,7,859.0,65536.0,0.0
1784886126.610892,startup,0,859.0,65536.0,0.0
1784886126.610892,startup,1,859.0,65536.0,0.0
1784886126.610892,startup,2,859.0,65536.0,0.0
1784886126.610892,startup,3,859.0,65536.0,0.0
1784886126.610892,startup,4,859.0,65536.0,0.0
1784886126.610892,startup,5,859.0,65536.0,0.0
1784886126.610892,startup,6,859.0,65536.0,0.0
1784886126.610892,startup,7,859.0,65536.0,0.0
1784886127.8961236,startup,0,859.0,65536.0,0.0
1784886127.8961236,startup,1,859.0,65536.0,0.0
1784886127.8961236,startup,2,859.0,65536.0,0.0
1784886127.8961236,startup,3,859.0,65536.0,0.0
1784886127.8961236,startup,4,859.0,65536.0,0.0
1784886127.8961236,startup,5,859.0,65536.0,0.0
1784886127.8961236,startup,6,859.0,65536.0,0.0
1784886127.8961236,startup,7,859.0,65536.0,0.0
1784886129.181613,startup,0,859.0,65536.0,0.0
1784886129.181613,startup,1,859.0,65536.0,0.0
1784886129.181613,startup,2,859.0,65536.0,0.0
1784886129.181613,startup,3,859.0,65536.0,0.0
1784886129.181613,startup,4,859.0,65536.0,0.0
1784886129.181613,startup,5,859.0,65536.0,0.0
1784886129.181613,startup,6,859.0,65536.0,0.0
1784886129.181613,startup,7,859.0,65536.0,0.0
1784886130.44782,startup,0,859.0,65536.0,0.0
1784886130.44782,startup,1,859.0,65536.0,0.0
1784886130.44782,startup,2,859.0,65536.0,0.0
1784886130.44782,startup,3,859.0,65536.0,0.0
1784886130.44782,startup,4,859.0,65536.0,0.0
1784886130.44782,startup,5,859.0,65536.0,0.0
1784886130.44782,startup,6,859.0,65536.0,0.0
1784886130.44782,startup,7,859.0,65536.0,0.0
1784886131.7348583,startup,0,859.0,65536.0,0.0
1784886131.7348583,startup,1,859.0,65536.0,0.0
1784886131.7348583,startup,2,859.0,65536.0,0.0
1784886131.7348583,startup,3,859.0,65536.0,0.0
1784886131.7348583,startup,4,859.0,65536.0,0.0
1784886131.7348583,startup,5,859.0,65536.0,0.0
1784886131.7348583,startup,6,859.0,65536.0,0.0
1784886131.7348583,startup,7,859.0,65536.0,0.0
